Participante,Título del Resumen
"DrC Lic. Leister Acosta Queralta","Uso de actividades en Moodle como apoyo a la docencia de la Farmacología General."
"Dra Jennys García Somoza","Evaluación de competencias en ventilación e intubación endotraqueal mediante simuladores de alta fidelidad"
"Dra Tania Amores Agulla","Evaluación de competencias en ventilación e intubación endotraqueal mediante simuladores de alta fidelidad"
"Lic Idorkis Méndez Espinosa","Factores de riesgo asociados al cáncer de mama en mujeres atendidas en el Hospital General Docente “Enrique Cabrera”"
"Lourdes Bravo Mengana","Factores de riesgo asociados al cáncer de mama en mujeres atendidas en el Hospital General Docente “Enrique Cabrera”"
"MSc. Ana Rosa Zulueta Alejo","Factores de riesgo asociados al cáncer de mama en mujeres atendidas en el Hospital General Docente “Enrique Cabrera”"
"Lic Mayrim Carbonell Peña","Factores de riesgo asociados al cáncer de mama en mujeres atendidas en el Hospital General Docente “Enrique Cabrera”"
"MSc. Yamilet de la Caridad Hernández López","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Lic. Iskra Marcos Armenteros","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"MSc. Ana Rosa Zulueta Alejo","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"DrC. Yanet Ortega Dugrot","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Lic Yanicela Zapata González","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Caridad Vega Rodríguez","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Lic. Osmara Tadeo Oropesa","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Lic. Yeneisy San Martín Cuesta","Modo de actuación profesional de los estudiantes de enfermería desde las prácticas en los servicios"
"Lourdes Bravo Mengana","Función sexual, intensidad del síndrome climatérico y síntomas poscovid, en enfermeras afectadas de COVID – 19"
"Lic Idorkis Méndez Espinosa","Función sexual, intensidad del síndrome climatérico y síntomas poscovid, en enfermeras afectadas de COVID – 19"
"MSc. Ana Rosa Zulueta Alejo","Función sexual, intensidad del síndrome climatérico y síntomas poscovid, en enfermeras afectadas de COVID – 19"
"Lic Mayrim Carbonell Peña","Función sexual, intensidad del síndrome climatérico y síntomas poscovid, en enfermeras afectadas de COVID – 19"
"Leandro Antonio Cuesta Mazorra","Salvamento del miembro inferior en paciente politraumatizado"
"Ana María Sánchez Santiesteban","Salvamento del miembro inferior en paciente politraumatizado"
"Cristofer Lázaro Rodriguez Mackhaser","Salvamento del miembro inferior en paciente politraumatizado"
"Leandro Antonio Cuesta Mazorra","Ruptura bilateral del tendón del cuádriceps femoral en paciente con enfermedad renal crónica"
"Ana María Sánchez Santiesteban","Ruptura bilateral del tendón del cuádriceps femoral en paciente con enfermedad renal crónica"
"Jordan Jorge Zayas Dros","Ruptura bilateral del tendón del cuádriceps femoral en paciente con enfermedad renal crónica"
"Daniel Aaron Herrera Lalumera","Ruptura bilateral del tendón del cuádriceps femoral en paciente con enfermedad renal crónica"
"Ania Estrada Velázquez","Estrategia interventiva para el fortalecimiento de la formación académica"
"María Antonia Rodríguez Hernández","Estrategia interventiva para el fortalecimiento de la formación académica"
"DrC. Roberto Rodriguez Travieso","Estrategia interventiva para el fortalecimiento de la formación académica"
"Dania Isabel Brito Menéndez","Estrategia interventiva para el fortalecimiento de la producción científica"
"Violeta González González","Estrategia interventiva para el fortalecimiento de la producción científica"
"DrC. Roberto Rodriguez Travieso","Estrategia interventiva para el fortalecimiento de la producción científica"
"Angélica Gálvez del Toro","Ergonomía en cirugía mínimamente invasiva ginecológica: experiencia del CNCMA."
"Frank Abel Acosta González","Ergonomía en cirugía mínimamente invasiva ginecológica: experiencia del CNCMA."
"Daimarelis Guerra del Valle","Ergonomía en cirugía mínimamente invasiva ginecológica: experiencia del CNCMA."
